,Price,Address,"City, State, ZIP",Beds,Full Baths,Lot Size,Area,Half Baths
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",,,,,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4 Beds,4 Full Baths,0.21 Acres,,
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",5 Beds,3 Full Baths,,"3,154 Sq. Ft",
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4 Beds,3 Full Baths,< 1/2 Acre ,"3,076 Sq. Ft",1 Half Bath
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3 Beds,3 Full Baths,< 1/2 Acre ,"1,172 Sq. Ft",
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4 Beds,2 Full Baths,0.27 Acres,"1,932 Sq. Ft",
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4 Beds,3 Full Baths,< 1/2 Acre ,"1,676 Sq. Ft",
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3 Beds,2 Full Baths,< 1/2 Acre ,"1,344 Sq. Ft",
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3 Beds,2 Full Baths,< 1/2 Acre ,"1,920 Sq. Ft",
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3 Beds,2 Full Baths,2.02 Acres,"1,664 Sq. Ft",
10,"$1,700,000",9339 Sd 26900,"Rocksprings, TX 78880",,,,"2,560 Sq. Ft",
11,"$1,100,000",RR674P13 Hwy 377,"Rocksprings, TX 78880",,,,"2,000 Sq. Ft",
12,"$1,080,000",0 Hwy 41,"Rocksprings, TX 78880",,,,,
13,"$908,350",9339 Sd 26900,"Rocksprings, TX 78880",,,,"2,560 Sq. Ft",
14,"$905,000",CR450 Hwy 377,"Rocksprings, TX 78880",,,,,
15,"$695,000",Cr 240 Cr 240,"Rocksprings, TX 78880",,,,"1,398 Sq. Ft",
16,"$605,000",RR674 Hwy 377,"Rocksprings, TX 78880",,,,"1,738 Sq. Ft",
17,"$559,805",9770a Sd 26900,"Rocksprings, TX 78880",,,,"1,080 Sq. Ft",
18,"$504,000",Lot17 CR 2630,"Rocksprings, TX 78880",,,,,
19,"$410,000","Tr12,16 CR 520","Rocksprings, TX 78880",,,,,
20,"$299,900",32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324",3 Beds,2 Full Baths,,"2,318 Sq. Ft",
21,"$167,500",32750 S Shangrila Drive,"Black Canyon City, AZ 85324",3 Beds,2 Full Baths,,"2,120 Sq. Ft",
22,"$150,000",0000 Black Canyon Highway,"Black Canyon City, AZ 85324",,,5 Acres,,
23,"$129,500",34775 S CHOLLA Drive,"Black Canyon City, AZ 85324",3 Beds,2 Full Baths,,"1,220 Sq. Ft",
24,"$129,000",33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324",4 Beds,2 Full Baths,,"2,000 Sq. Ft",
25,"$80,000",34263 S Bertha Street,"Black Canyon City, AZ 85324",5 Beds,2 Full Baths,,"2,260 Sq. Ft",
26,"$77,900",33160 S Canyon Road,"Black Canyon City, AZ 85324",3 Beds,2 Full Baths,,"1,248 Sq. Ft",
27,"$70,500",19421 E Todd Evans Road,"Black Canyon City, AZ 85324",3 Beds,2 Full Baths,,"1,404 Sq. Ft",
28,"$70,000",18688 E AGUA Vista,"Black Canyon City, AZ 85324",,,0.7 Acres,,
29,"$67,500",50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",,,3 Acres,,
30,"$54,900",20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",,,,,
31,"$45,600",33259 S Canyon Road,"Black Canyon City, AZ 85324",3 Beds,1 Full Bath,,"1,056 Sq. Ft",
32,"$40,000",34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",2 Beds,1 Full Bath,< 1/2 Acre,784 Sq. Ft,
33,"$30,000",19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",,,2.35 Acres,,
34,"$29,000",19000 E MAREN Avenue,"Black Canyon City, AZ 85324",,,2.05 Acres,,
35,"$28,995",19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",,,0.73 Acres,,
36,"$15,000",20650 E Amethyst Place,"Black Canyon City, AZ 85324",,,0.31 Acres,,
